 
5-03-2024 10:31:29 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/permohonan/step3/539 | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/permohonan/step2/4

5-03-2024 10:31:44 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/permohonan/step2/4 | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/permohonan/step1

5-03-2024 10:31:49 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/permohonan/step2/4 | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/permohonan/step1

5-03-2024 10:31:55 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/permohonan/step1 | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user/permohonan

5-03-2024 10:32:15 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/login | Referer: https://www.google.com/

5-03-2024 10:32:28 | IPs reserved list | IP: 114.122.103.42 ] | DNS: 114.122.103.42 | Agent: Mozilla/5.0 (Linux; Android 13; V2025) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/login/logout

5-03-2024 10:32:32 | IPs reserved list | IP: 114.122.103.42 ] | DNS: 114.122.103.42 | Agent: Mozilla/5.0 (Linux; Android 13; V2025) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36 | URL: /spekta/main/login | Referer: android-app://com.google.android.gm/

5-03-2024 10:32:38 | IPs reserved list | IP: 114.122.103.42 ] | DNS: 114.122.103.42 | Agent: Mozilla/5.0 (Linux; Android 13; V2025) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36 | URL: /spekta/main/login | Referer: android-app://com.google.android.gm/

5-03-2024 10:32:52 | IPs reserved list | IP: 114.122.103.42 ] | DNS: 114.122.103.42 | Agent: Mozilla/5.0 (Linux; Android 13; V2025) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36 | URL: /spekta/main/login | Referer: android-app://com.google.android.gm/

5-03-2024 10:32:54 | IPs reserved list | IP: 114.122.103.42 ] | DNS: 114.122.103.42 | Agent: Mozilla/5.0 (Linux; Android 13; V2025) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36 | URL: /spekta/main/login | Referer: android-app://com.google.android.gm/

5-03-2024 10:32:56 | IPs reserved list | IP: 114.122.103.42 ] | DNS: 114.122.103.42 | Agent: Mozilla/5.0 (Linux; Android 13; V2025) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36 | URL: /spekta/main/login | Referer: android-app://com.google.android.gm/

5-03-2024 10:33:00 | IPs reserved list | IP: 114.122.103.42 ] | DNS: 114.122.103.42 | Agent: Mozilla/5.0 (Linux; Android 13; V2025) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36 | URL: /spekta/main/login | Referer: android-app://com.google.android.gm/

5-03-2024 10:33:18 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/login | Referer: https://www.google.com/

5-03-2024 10:33:30 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/permohonan | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user

5-03-2024 10:34:13 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: no referer

5-03-2024 10:34:26 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: no referer

5-03-2024 10:35:09 | IPs reserved list | IP: 114.122.77.4 ] | DNS: 114.122.77.4 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/permohonan | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user

